date,vaccine_name,batch_id,manufacturer,location,demand,supply,stock
2024-01-01,Covishield,COV-000,Serum Institute,Delhi,249,273,268
2024-01-02,Covishield,COV-001,Serum Institute,Tamil Nadu,255,269,223
2024-01-03,Covishield,COV-002,Serum Institute,Maharashtra,282,278,269
2024-01-04,Covishield,COV-003,Serum Institute,Kerala,269,295,261
2024-01-05,Covishield,COV-004,Serum Institute,Tamil Nadu,274,265,246
2024-01-06,Covishield,COV-005,Serum Institute,Tamil Nadu,245,270,220
2024-01-07,Covishield,COV-006,Serum Institute,Delhi,254,241,206
2024-01-08,Covishield,COV-007,Serum Institute,Maharashtra,288,278,266
2024-01-09,Covishield,COV-008,Serum Institute,Kerala,308,311,264
2024-01-10,Covishield,COV-009,Serum Institute,Kerala,307,298,289
2024-01-11,Covishield,COV-010,Serum Institute,Karnataka,284,264,237
2024-01-12,Covishield,COV-011,Serum Institute,Kerala,275,301,293
2024-01-13,Covishield,COV-012,Serum Institute,Karnataka,257,264,250
2024-01-14,Covishield,COV-013,Serum Institute,Karnataka,220,227,218
2024-01-15,Covishield,COV-014,Serum Institute,Kerala,257,268,221
2024-01-16,Covishield,COV-015,Serum Institute,Karnataka,274,258,208
2024-01-17,Covishield,COV-016,Serum Institute,Karnataka,258,247,230
2024-01-18,Covishield,COV-017,Serum Institute,Delhi,250,273,256
2024-01-19,Covishield,COV-018,Serum Institute,Maharashtra,202,228,182
2024-01-20,Covishield,COV-019,Serum Institute,Tamil Nadu,208,197,158
2024-01-21,Covishield,COV-020,Serum Institute,Delhi,213,220,207
2024-01-22,Covishield,COV-021,Serum Institute,Delhi,233,223,180
2024-01-23,Covishield,COV-022,Serum Institute,Delhi,240,232,196
2024-01-24,Covishield,COV-023,Serum Institute,Maharashtra,227,237,187
2024-01-25,Covishield,COV-024,Serum Institute,Tamil Nadu,221,227,221
2024-01-26,Covishield,COV-025,Serum Institute,Maharashtra,221,221,217
2024-01-27,Covishield,COV-026,Serum Institute,Kerala,211,240,195
2024-01-28,Covishield,COV-027,Serum Institute,Kerala,203,231,190
2024-01-29,Covishield,COV-028,Serum Institute,Tamil Nadu,229,226,225
2024-01-30,Covishield,COV-029,Serum Institute,Karnataka,260,288,260
